Date,Open,High,Low,Close,Adj Close,Volume
2016-06-17,25.650000,25.825001,25.370001,25.820000,25.820000,478080
2016-06-20,26.075001,26.885000,26.035000,26.799999,26.799999,382182
2016-06-21,26.770000,26.990000,26.240000,26.320000,26.320000,444916
2016-06-22,26.360001,26.705000,26.070000,26.100000,26.100000,334050
2016-06-23,26.240000,26.545000,26.025000,26.200001,26.200001,447241
2016-06-24,24.120001,25.295000,24.120001,25.125000,25.125000,1242250
2016-06-27,24.915001,24.915001,22.805000,23.035000,23.035000,908802
2016-06-28,23.520000,24.370001,23.504999,23.889999,23.889999,680095
2016-06-29,24.325001,24.325001,23.895000,24.225000,24.225000,464848
2016-06-30,24.170000,24.245001,23.605000,23.709999,23.709999,770295
2016-07-01,23.940001,24.920000,23.740000,24.605000,24.605000,613452
2016-07-04,25.299999,25.485001,24.645000,24.645000,24.645000,432690
2016-07-05,24.594999,24.594999,23.799999,23.955000,23.955000,550008
2016-07-06,23.764999,23.990000,23.424999,23.875000,23.875000,542740
2016-07-07,24.000000,24.400000,23.889999,23.975000,23.975000,328219
2016-07-08,24.000000,24.730000,23.959999,24.665001,24.665001,466758
2016-07-11,24.955000,25.549999,24.889999,25.520000,25.520000,366260
2016-07-12,25.750000,26.750000,25.750000,26.709999,26.709999,773466
